show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s023,TV Show,Black Mirror,Charlie Brooker,"Daniel Lapaine, Hannah John-Kamen",United Kingdom,2021-06-15,2011,TV-MA,5 Seasons,"British TV Shows, Sci-Fi & Fantasy",An anthology explores the dark consequences of technology.
s024,Movie,The Adam Project,Shawn Levy,"Ryan Reynolds, Walker Scobell",United States,2022-03-11,2022,PG-13,106 min,"Action & Adventure, Sci-Fi & Fantasy",A time-traveling pilot teams up with his younger self.
s025,TV Show,Delhi Crime,Richie Mehta,"Shefali Shah, Rasika Dugal",India,2022-04-22,2019,TV-MA,2 Seasons,"Crime, International TV Shows",Police investigate a major criminal case in Delhi.
s026,Movie,Parasite,Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun",South Korea,2020-02-01,2019,R,132 min,"Dramas, International Movies, Thrillers",A struggling family becomes involved with a wealthy household.
s027,TV Show,Narcos,"Chris Brancato, Carlo Bernard, Doug Miro","Wagner Moura, Pedro Pascal",United States,2017-09-01,2015,TV-MA,3 Seasons,"Crime, Drama, TV Thrillers",A drama about the rise and fall of powerful drug cartels.
s028,Movie,Forrest Gump,Robert Zemeckis,"Tom Hanks, Robin Wright",United States,2020-10-01,1994,PG-13,142 min,"Classic Movies, Dramas",An optimistic man experiences major events in American history.
s029,TV Show,Bridgerton,Chris Van Dusen,"Phoebe Dynevor, Regé-Jean Page",United States,2020-12-25,2020,TV-MA,3 Seasons,"Drama, Romantic TV Shows",A young woman enters London's competitive marriage market.
s030,Movie,Joker,Todd Phillips,"Joaquin Phoenix, Robert De Niro",United States,2020-01-01,2019,R,122 min,"Crime, Dramas, Thrillers",A failed comedian descends into a dark transformation.
s031,TV Show,Kota Factory,Raghav Subbu,"Mayur More, Jitendra Kumar",India,2021-09-01,2019,TV-14,3 Seasons,"Comedies, Dramas, International TV Shows",Students navigate competitive exams and life in a coaching town.
s032,Movie,Taare Zameen Par,Aamir Khan,"Darsheel Safary, Aamir Khan",India,2019-01-01,2007,PG,165 min,"Dramas, International Movies",A teacher helps a young student discover his strengths.
s033,Movie,Avengers: Endgame,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo",United States,2021-01-01,2019,PG-13,181 min,"Action & Adventure, Sci-Fi & Fantasy",Heroes attempt to reverse a catastrophic event.
s034,TV Show,Lucifer,Tom Kapinos,"Tom Ellis, Lauren German",United States,2021-09-10,2016,TV-14,6 Seasons,"Crime, Fantasy, TV Shows",The Devil abandons Hell and becomes a consultant for the police.
s035,Movie,Zindagi Na Milegi Dobara,Zoya Akhtar,"Hrithik Roshan, Farhan Akhtar",India,2019-07-15,2011,TV-14,155 min,"Comedies, Dramas, International Movies",Three friends take a life-changing road trip through Spain.
s036,TV Show,Friends,"David Crane, Marta Kauffman","Jennifer Aniston, Courteney Cox",United States,2015-01-01,1994,TV-14,10 Seasons,"Classic & Cult TV, Comedies",Six friends navigate relationships and careers in New York.
s037,Movie,The Gray Man,"Anthony Russo, Joe Russo","Ryan Gosling, Chris Evans",United States,2022-07-22,2022,PG-13,129 min,"Action & Adventure, Thrillers",A skilled operative becomes the target of a powerful organization.
s038,TV Show,Squid Game,Hwang Dong-hyuk,"Lee Jung-jae, Park Hae-soo",South Korea,2021-09-17,2021,TV-MA,1 Season,"International TV Shows, Thrillers",Contestants risk everything in a deadly series of games.
s039,Movie,PK,Rajkumar Hirani,"Aamir Khan, Anushka Sharma",India,2020-12-01,2014,PG-13,153 min,"Comedies, Dramas, International Movies",An unusual visitor questions social beliefs and traditions.
s040,Movie,Interstellar,Christopher Nolan,"Matthew McConaughey, Anne Hathaway",United States,2021-03-01,2014,PG-13,169 min,"Dramas, Sci-Fi & Fantasy",Explorers travel through space searching for a future for humanity.
s041,TV Show,Ozark,"Bill Dubuque, Mark Williams","Jason Bateman, Laura Linney",United States,2020-03-27,2017,TV-MA,4 Seasons,"Crime, Drama, TV Thrillers",A financial adviser relocates his family after becoming involved with criminals.
s042,Movie,Drishyam,Nishikant Kamat,"Ajay Devgn, Shriya Saran",India,2020-02-15,2015,TV-14,163 min,"Dramas, International Movies, Thrillers",A family man takes extraordinary steps to protect his family.
s043,TV Show,The Office,Greg Daniels,"Steve Carell, Rainn Wilson",United States,2021-01-01,2005,TV-14,9 Seasons,"Comedies, Sitcoms",Employees at a paper company navigate everyday workplace life.
s044,Movie,The Batman,Matt Reeves,"Robert Pattinson, Zoe Kravitz",United States,2022-08-01,2022,PG-13,176 min,"Action & Adventure, Crime, Dramas",Batman investigates corruption and a series of murders in Gotham.
s045,TV Show,Aspirants,Apoorv Singh Karki,"Naveen Kasturia, Shivankit Singh Parihar",India,2021-04-01,2021,TV-14,1 Season,"Drama, International TV Shows",Friends prepare for a difficult civil service examination.
s046,Movie,Jawan,Atlee,"Shah Rukh Khan, Nayanthara",India,2023-11-02,2023,TV-14,169 min,"Action & Adventure, International Movies",A man confronts corruption while pursuing a personal mission.
s047,TV Show,Cobra Kai,"Josh Heald, Jon Hurwitz, Hayden Schlossberg","Ralph Macchio, William Zabka",United States,2022-09-09,2018,TV-14,5 Seasons,"Comedies, Dramas, Sports",Rival martial arts teachers revisit an old competition.
s048,Movie,The Platform,Galder Gaztelu-Urrutia,"Ivan Massague, Zorion Eguileor",Spain,2020-03-20,2019,TV-MA,94 min,"Horror Movies, International Movies, Sci-Fi & Fantasy",Prisoners confront an unusual vertical food distribution system.
s049,TV Show,Mismatched,Akarsh Khurana,"Prajakta Koli, Rohit Saraf",India,2022-10-14,2020,TV-14,2 Seasons,"Comedies, International TV Shows, Romantic TV Shows","Two young people navigate friendship, technology, and relationships."
s050,Movie,Glass,M. Night Shyamalan,"James McAvoy, Bruce Willis, Samuel L. Jackson",United States,2021-05-01,2019,PG-13,129 min,"Dramas, Sci-Fi & Fantasy, Thrillers",Three extraordinary individuals collide in a psychological mystery.
